subdivision,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jjas
Gangetic West Bengal,1994,23.8,48.8,7.3,63.7,98,310.1,426.1,294.4,166.1,82.9,9.6,0,1530.8,1196.8
Gangetic West Bengal,1995,20.2,30.1,8.7,10.1,202.9,185.4,401.1,413,411.5,86.4,160.5,6.2,1936,1411
Gangetic West Bengal,1996,11,13.2,10.4,39.2,67.5,336,251.3,472,143.5,155.9,4.1,0,1504,1202.7
Gangetic West Bengal,1997,18.7,23.6,44.2,101.8,98.2,219.6,437.3,387.3,244,27.8,30.5,24.9,1657.7,1288.1
Gangetic West Bengal,1998,52.9,31,128.8,53,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0,1632.7,1011.5
Gangetic West Bengal,1999,0.1,0.7,1.6,10.5,217.9,268.8,405.2,375.4,467.8,195.3,13.7,0,1957,1517.2
Gangetic West Bengal,2000,9.5,57.9,3.8,54,215,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1,1153.9
Gangetic West Bengal,2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0,1540.6,1108
Gangetic West Bengal,2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3,1244.9
Gangetic West Bengal,2003,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,928.2
Gangetic West Bengal,2004,3.3,1.6,14.9,62.8,72.9,287.5,250.7,389.9,264.3,220.7,0,0.8,1569.4,1192.3
Gangetic West Bengal,2005,26.8,11.8,82.8,41.8,82.4,200.1,354.5,226.7,221.3,351.7,0,4.9,1604.9,1002.6
Gangetic West Bengal,2006,0.8,3,10.6,60.5,120.8,221,486.6,320.3,380.9,49.7,5.9,0.3,1660.5,1408.8
Gangetic West Bengal,2007,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328,459.9,55.8,24.6,0,1941.4,1624.2
Gangetic West Bengal,2008,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0,0.2,1555.2,1272.3
Gangetic West Bengal,2009,2.4,1.4,17.9,2.6,229,69.7,277.6,332.7,294.6,77.3,9.4,0.3,1315,974.6
Gangetic West Bengal,2010,0.2,10.3,8,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.7,1064.8,770.7
Gangetic West Bengal,2011,2.5,2.7,40.5,75,132.6,434.5,219.9,443.2,295.9,36.9,1.3,1.4,1686.5,1393.6
Gangetic West Bengal,2012,40.7,15.3,4.4,57.7,44.2,146.6,315,261.4,246.9,64.2,47,24.6,1268,969.9
Gangetic West Bengal,2013,2.5,10,4.8,45.6,195.9,233.4,263.2,401.4,254,353.2,0,0,1764.1,1152
Gangetic West Bengal,2014,0.9,42.2,19.9,1.9,124.4,193.6,298.7,292.6,229.5,56.9,0.1,0.6,1261.4,1014.4
Gangetic West Bengal,2015,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164,32.7,2.3,6.3,1530.3,1304.9
Gangetic West Bengal,2016,9.9,37.9,14.7,5.8,111.9,172.7,334.7,416.7,233.7,69.8,19.2,0,1427,1157.8
Gangetic West Bengal,2017,1.4,0,35.2,25.8,106.3,193.7,489.3,264.5,191.4,225.2,21.9,14,1568.6,1138.9
Orissa,1901,39.5,65.1,16.1,51.6,79,78.2,288.4,307.7,185.3,76.6,96.7,0,1284.2,859.6
Orissa,1902,3.4,0.2,14.2,101.1,56.7,108.3,437.4,349.1,202.7,33.2,13,29.6,1349,1097.6
Orissa,1903,19.7,18.9,10.5,34.6,73.3,154.3,410.4,295.2,265.6,228.5,46.2,11,1568.3,1125.5
Orissa,1904,0.2,12.2,20.6,10.1,100.2,342.9,336.7,350.4,227.8,111.8,0,1.9,1514.8,1257.8
Orissa,1905,24.3,17.2,66.3,56.9,107.5,92,330.1,281.4,344.1,36.4,0.7,0.4,1357.3,1047.6
Orissa,1906,19.8,88.3,40.9,5,46.3,219,348.8,261.8,251.7,86.2,13,27.4,1408.2,1081.3
Orissa,1907,0.1,16.9,57.4,105.1,39.8,226.3,203.9,531.8,204.8,15.9,14,31.2,1447.1,1166.8
Orissa,1908,36.2,0.6,12.2,9.9,59.3,218.7,327.2,507.3,213.9,45.3,0,0,1430.6,1267.1
Orissa,1909,5.7,11.9,4.8,148.4,53.1,288.2,452.7,234.3,234,42.3,1.8,58.1,1535.5,1209.2
Orissa,1910,10.6,0.6,2.1,52.7,60.6,258.8,381.8,368.7,237.9,216.2,8.5,0,1598.5,1247.1
Orissa,1911,0,2.7,26.2,18.6,56.6,351.6,172.2,406.2,270,92.3,15,5.9,1417.3,1200
Orissa,1912,1,62.5,10.4,49.3,39.6,113,388.4,405.6,216.4,64.5,46.5,0,1397.2,1123.4
Orissa,1913,1.2,56.3,9.6,12.3,87.1,230,448,356.4,166.3,149.7,25.7,1.7,1544.3,1200.7
Orissa,1914,0,20.2,12.7,64.6,175,255.8,397.7,309.7,342.2,12.9,1,6.8,1598.5,1305.3
Orissa,1915,15.4,21.4,37.3,25.2,74.5,165.1,239.4,313,270.8,149.2,125.6,0,1437.1,988.3
Orissa,1916,0,4.9,0.8,33.8,45.5,339.6,250.7,334.7,197.6,216.1,55.8,0,1479.4,1122.5
Orissa,1917,0,68.5,24,26,95.1,336.3,319,319.4,280.6,364.4,16.4,0.3,1850.1,1255.4
Orissa,1918,10.8,0.3,19.3,28.5,127.7,363.3,216.5,324.8,190.1,7.5,5.1,3.6,1297.4,1094.7
Orissa,1919,59.8,56.6,29.5,30.2,72,332.3,354.7,492.2,138.3,89.8,99.7,2.8,1758.1,1317.6
Orissa,1920,3.3,18.2,50.7,26.9,51.2,173.2,561.4,303.9,167.2,44.9,1.6,0,1402.6,1205.8
Orissa,1921,48.7,1.1,1.7,26.4,19.5,210.2,321.9,289.1,338.2,62.9,4.4,0,1324,1159.4
Orissa,1922,20,0.2,1.9,13.9,46.6,247,431.8,295.4,328.8,50.9,30,0.1,1466.5,1302.9
Orissa,1923,0.2,66.3,9.6,17.1,34.4,106.7,288.7,333,210.5,112.6,74.8,4.7,1258.6,939
Orissa,1924,30.2,5.9,1.3,15.7,83.9,95.3,228.5,312.4,232,106,152.3,0,1263.4,868.1
Orissa,1925,2,0,6,52.2,111.8,353.5,433.7,429.9,201.5,201.8,4.8,10.7,1807.8,1418.6
Orissa,1926,34.8,11.3,83.2,34.1,59.2,71.7,296.5,565.3,288.9,88.1,0,2.6,1535.8,1222.4
Orissa,1927,3,27.2,8.1,12.6,51.6,241.8,454.5,431.5,181,92.2,22.1,0,1525.5,1308.8
Orissa,1928,4.6,4.6,6.3,62.8,68.8,266.7,468.8,266.1,226.5,208,1.7,0.6,1585.6,1228.2
Orissa,1929,18,18.8,4.5,25,37.8,193.4,525,423.4,190.9,185.7,0,15.3,1637.8,1332.7
Orissa,1930,0.2,12.1,9.9,33.4,38,177.5,357.5,333.7,287.5,50.5,143.1,2.7,1446.4,1156.3
Orissa,1931,7.4,36.8,20.7,18.6,44.3,108,239.9,511,197,233.4,59.5,0.4,1477.2,1055.9
Orissa,1932,0.2,34,9.9,26.9,67.4,116.5,474.7,271,246.3,57.3,136,0,1440.2,1108.6
Orissa,1933,17.8,57.4,7.9,25.5,136.5,288.6,404.8,448.6,294.7,138.1,20,11.1,1851,1436.7
Orissa,1934,0.1,1.4,4.2,11,21,230.6,371.8,425.4,300.1,102.6,17.4,3.3,1488.9,1327.9
Orissa,1935,1.1,10.2,12.4,42.1,16.2,135.5,531.3,212.8,237.8,17.5,0.1,2.3,1219.4,1117.5
Orissa,1936,16.8,42.9,11.7,7.9,155.3,477.6,360.1,384.9,247.3,154.4,11.5,5.5,1876,1469.9
Orissa,1937,0,89,28.4,66.9,64.9,235.2,430.6,290,285.8,75.5,0.8,0.3,1567.3,1241.6
Orissa,1938,11,16.8,14,14.5,119.6,229.6,267.2,339.8,226.4,179,23.7,0,1441.6,1063
Orissa,1939,8.1,10.9,34.9,26.3,19.1,196.9,411.9,410.1,242.1,181.2,19.3,2.8,1563.4,1260.9
